Miley Cyrus ; Wrecking Ball
Clean Bandit,Julia Michaels ; I Miss You (feat. Julia Michaels) - Acoustic
Tom Odell ; Magnetised - Acoustic
Jeremy Zucker,Chelsea Cutler ; better off
Grace Carter ; Why Her Not Me
Isaiah ; It's Gotta Be You
Birdy ; Not About Angels
P!nk ; Try
LÉON ; Liar
Elley Duhé ; STARZ
Chris Brown ; Should've Kissed You
Adele ; Turning Tables
Kurt Hugo Schneider,Austin Percario,Victoria Canal ; Torn (feat. Austin Percario & Victoria Canal) - Natalie Imbruglia Cover
Beyoncé ; If I Were a Boy
Gabriel Rios ; Gold
DeathbyRomy,Yung Bans ; High
Freya Ridings ; Lost Without You
Jessica Mauboy,Jay Sean ; What Happened to Us
Joe Traxler ; If I Could Ever Fall Asleep
Lord Huron ; The Night We Met
Demi Lovato ; Sober
Lea Michele ; If You Say So
Ruel ; Don't Tell Me
Avril Lavigne ; Wish You Were Here
Amigo the Devil ; Cocaine and Abel
Declan J Donovan ; Human Way
Labrinth ; Jealous
Band of Horses ; The Funeral
Alessia Cara ; River Of Tears
Backstreet Boys ; Show Me the Meaning of Being Lonely
Ella Henderson ; Yours
Zhavia Ward ; Candlelight
Adele ; All I Ask
Ellie Goulding ; Your Song
London Grammar ; Strong
Lauv ; Superhero
Sigrid ; Focus - Demo
John Legend ; All of Me
Kodaline ; All I Want
Ella Henderson ; Missed
James Smith ; T-Shirts - Acoustic
Rachel Platten ; Fight Song
The Script ; The Man Who Can't Be Moved
Pink Sweat$ ; No Replacing You
Xuitcasecity ; Need Somebody (Acoustic)
Jordin Sparks,Chris Brown ; No Air (feat. Chris Brown)
Train ; Drops of Jupiter
MØ ; Never Wanna Know
Fredrika Stahl ; Rocket Trip to Mars
Stan Walker,Kayo ; Homesick - Single Version
Tom Odell,Alice Merton ; Half As Good As You (feat. Alice Merton)
Andrew Belle ; In My Veins - Feat. Erin Mccarley
Noah Cyrus,Gallant ; Mad at You (with Gallant)
James Arthur ; Say You Won't Let Go
Jaymes Young ; I'll Be Good
Luke Friend ; Hole in My Heart
Adele ; Make You Feel My Love
Toyko ; satellite
SKŸE ; Better
Avril Lavigne ; Complicated
Kodaline ; Love Like This - Acoustic
Kina Grannis ; For Now
Linkin Park ; One More Light
Sam Smith ; I'm Not The Only One
Ed Sheeran ; Wake Me Up
Isabella ; Three
AURORA ; Runaway
Maria Lynn,Toniia ; All or Nothing (Acoustic)
Sia ; Breathe Me
The Fray ; You Found Me
A Great Big World ; Say Something
Rhys Lewis ; No Right To Love You - Acoustic
Britney Spears ; When I Found You
The Veronicas ; You Ruin Me
Lennon Stella ; Like Everybody Else - Acoustic
Ed Sheeran ; Happier
Ruth B. ; Superficial Love
Eryn Martin ; Trip
Eva & The Heartmaker ; Twenty-four Something
Chris Brown ; So Cold
Gavin DeGraw ; Not Over You
James Morrison ; You Make It Real
P!nk,Nate Ruess ; Just Give Me a Reason
Passenger ; Let Her Go
Picture This ; This Morning
EZI ; Need You Like That
Jorja Smith ; Goodbyes
James Arthur ; Impossible
James Arthur ; At My Weakest
Gavin James,Mark 'Spike' Stent ; Bitter Pill
Nina Nesbitt ; The Sun Will Come up, The Seasons Will Change
Tom Odell ; Another Love
Olivia O'Brien ; hate u love u
Jeff Buckley ; Last Goodbye
John Mayer ; Slow Dancing in a Burning Room
Canyon City ; Alone With You
Sasha Sloan ; The Only
isaac gracie ; that was then
Gavin James ; The Book of Love
Dean Lewis ; Be Alright
Alicia Keys ; Doesn't Mean Anything
One Direction ; Half a Heart
Jordin Sparks,Chris Brown ; No Air
Ryan Adams ; When The Stars Go Blue
James Vincent McMorrow ; Higher Love
Blanche ; City Lights - Acoustic
Ed Sheeran ; Photograph
Camila Cabello ; I Have Questions
Noah Cyrus,Labrinth ; Make Me (Cry)
Kodaline ; Blood and Bones
Albin Lee Meldau ; Lou Lou
Juliander ; Afterglow
FLETCHER ; I Believe You
Awa ; Not Ready to Say Goodbye - Piano version
Tom Walker ; Fly Away With Me
Craig David ; Don't Love You No More (I'm Sorry)
Leona Lewis ; Run
Plested ; Worthy Of You
Sam Smith ; Too Good At Goodbyes - Edit
Ambar Lucid ; A Letter to My Younger Self
Dan Owen ; Hand That You Hold
Billie Marten ; Cursive
James Blunt ; You're Beautiful
Calum Scott ; Dancing On My Own
James Arthur ; Naked
Hot Chelle Rae,Demi Lovato ; Why Don't You Love Me
Vancouver Sleep Clinic ; Someone To Stay
Matthew And The Atlas ; Palace
MKTO ; Wasted
The Fray ; Look After You
Fiona Apple ; Love Ridden
Beyoncé ; Halo
Saint Claire ; Enough for You
The Weeknd ; Call Out My Name
Leona Lewis ; Better in Time
P!nk ; Wild Hearts Can't Be Broken
Aquilo ; Sorry
Alicia Keys ; If I Ain't Got You
Lewis Capaldi ; Tough - Acoustic
Lukas Graham ; 7 Years
Daughter ; Medicine
Fifth Harmony ; Miss Movin' On - Acoustic
The Script ; Breakeven
One Direction ; Same Mistakes
Gavin James ; Nervous - Acoustic
Anna Nalick ; Breathe (2 AM)
Zara Larsson ; I Can't Fall in Love Without You
Maria Mena ; I Don't Wanna See You with Her
RY X ; Berlin
Zara Larsson ; Uncover
Paul Young ; Every Time You Go Away - Radio Edit
Shawn Mendes ; Never Be Alone
Gabrielle Aplin ; The Power of Love
Jasper Steverlinck ; That's Not How Dreams Are Made
CHVRCHES ; Get Out - Recorded At Spotify Studios NYC
gnash,Ben Abraham ; dear insecurity (feat. Ben Abraham)
Sarah McLachlan ; When She Loved Me
Taylor Henderson ; When You Were Mine
Billy Lockett ; Empty House
P!nk ; I Don't Believe You
ZAYN ; Entertainer
Tom Walker ; Leave a Light On
Russ ; Losin Control
Harry Styles ; Sign of the Times
John Mayer ; Gravity
TLC ; Unpretty
AURORA ; Half the World Away
Coldplay ; Warning Sign
Beyoncé ; Broken-Hearted Girl
Daniel Schulz ; Turn Back Time
Jorja Smith ; So Lonely
Sonny ; Calm Down
Rudimental,Jess Glynne,Macklemore,Dan Caplen ; These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Acoustic
Noah Cyrus,XXXTENTACION ; Again
Haux ; Caves
Shawn Mendes ; Running Low
Train ; 50 Ways to Say Goodbye
Dixie Chicks ; Landslide
Birdy ; People Help The People
Lucy Rose ; Night Bus
Curtis Walsh ; Full Recovery
Beyoncé ; Pretty Hurts
Rhye ; Hymn
Lissie ; Blood & Muscle
The Script ; Nothing
Samantha Jade ; Heartless
Meghan Trainor,John Legend ; Like I'm Gonna Lose You
Richard Fairlie ; Torn
Beyoncé ; Scared of Lonely
Imaginary Future ; I Knew This Would Be Love
Molly Sandén ; Why Am I Crying
One Direction ; Love You Goodbye
Howie Day ; Collide
The Script ; Before the Worst
Tom Odell ; You're Gonna Break My Heart Tonight
bvd kult,OT ; Let You Go - Acoustic
Pink Sweat$ ; Honesty
Camila Cabello ; Consequences
James Arthur ; Can I Be Him
Iron & Wine ; Call It Dreaming
Aquilo ; You There
Kodaline ; The One
Little Mix,Jason Derulo ; Secret Love Song
Paloma Faith ; Only Love Can Hurt Like This
Maisie Peters ; Worst of You
Sleeping At Last ; Already Gone
One Direction ; More Than This
Dua Lipa ; Homesick
JC Stewart ; Medicine
Sigrid ; I Don't Want To Know
Adele ; Hello
One Direction ; You & I
Robinson ; Don't Trust Myself
Adele ; Someone Like You
The Fray ; How to Save a Life
RHODES,Birdy ; Let It All Go
Kesha ; Praying
Aquilo ; Who Are You
gnash,Olivia O'Brien ; I Hate U I Love U (feat. Olivia O'Brien)
Alex & Sierra ; Little Do You Know
The Cinematic Orchestra,Patrick Watson ; To Build A Home
Passenger ; Let Her Go - Acoustic
Ed Sheeran ; Autumn Leaves
gnash ; the broken hearts club
G.R.L. ; Ugly Heart
Late Night Episode ; Smoking Kills
Miranda Lambert ; Tin Man
The Fray ; Never Say Never
Jess Glynne ; Take Me Home - BBC Children In Need Single 2015
Greyson Chance ; Good as Gold
Matilda ; Naked
Adam Lambert ; Whataya Want from Me
Kodaline ; High Hopes
John Mayer ; XO
James Vincent McMorrow ; Red Dust - Solo Version
Seafret ; Oceans
RHODES ; Blank Space
RHODES ; Wishes
Battleme ; Hey Hey, My My
Matt Corby ; Runaway - Live On The Resolution Tour
Keaton Henson ; Flesh And Bone
Gavin James ; For You
X Ambassadors ; Unsteady
Keaton Henson ; Petrichor
Keaton Henson ; Alright
Keaton Henson ; Epilogue
Keaton Henson ; How Could I Have Known
Keaton Henson ; You Don't Know How Lucky You Are
Luke Cusato ; Breathe
Keaton Henson ; You
Keaton Henson ; No Witnesses
Jen Cloher ; Hold My Hand
JP Cooper ; In The Silence - Demo
Keaton Henson ; The Pugilist
Keaton Henson ; Don't Swim
Keaton Henson ; Polyhymnia
Sleeping At Last ; Atlas: Sorrow
Ella Eyre ; We Don't Have To Take Our Clothes Off
Novo Amor,Ed Tullett ; Terraform
BJ The Chicago Kid ; Falling On My Face
Amber Run ; I Found
RHODES ; Sleep Is a Rose
Fozzey & VanC ; Perfect Couple 2
Seafret ; Oceans - Acoustic Version from Osea Island
Harry Styles ; Girl Crush - Recorded at Metropolis Studios, London
Amber Run ; I Found - Acoustic
Bruno Major ; Places We Won't Walk
RHODES ; Morning
Kyle Lionhart ; Slow Sips
Patrick Watson ; Noisy Sunday
Sufjan Stevens ; Visions of Gideon
Rufus Wainwright ; The Maker Makes - Brokeback Mountain/Soundtrack Version
Tom Rosenthal ; Pingu in the Igloo
Bruno Mars ; When I Was Your Man
Tom Rosenthal ; Sex, Death and Landscapes
Tom Rosenthal ; Ian
Tom Rosenthal ; Watching You Watching YouTube in the Dark
Tom Rosenthal ; I Like It When You're Gone
Tom Rosenthal ; Too Many Candles
Tom Rosenthal ; There Isn't Nothing
Christina Perri ; A Thousand Years
XXXTENTACION ; SAD!
XXXTENTACION ; changes
XXXTENTACION ; Jocelyn Flores
XXXTENTACION ; Depression & Obsession
XXXTENTACION ; Everybody Dies In Their Nightmares
XXXTENTACION,Trippie Redd ; Fuck Love (feat. Trippie Redd)
Logic,Alessia Cara,Khalid ; 1-800-273-8255
Lil Xan ; Betrayed
Post Malone ; Feeling Whitney
Trippie Redd ; Love Scars
Post Malone ; I Fall Apart
Post Malone ; Leave
Mark Diamond ; All We've Done (Lost Recording #9)
Dean Lewis ; Adore
Johnny Stimson ; I'll Be Fine
James Arthur ; Suicide
Russ ; Overdue
Christian Nodal ; Adios Amor
Christian Akridge ; Can't Help Falling in Love
XXXTENTACION ; Hope
$uicideBoy$ ; Kill Yourself (Part III)
Juice WRLD ; Lucid Dreams
mansionz,Spark Master Tape ; STFU
Mark Diamond ; You're My Girl (Lost Recording #6)
Flipp Dinero ; Leave Me Alone
