Mikky Ekko ; Time
Xavier Wulf ; Thunder Man
Kyle Lionhart ; Slow Sips
Between Kings ; World of Our Own
Vague003,333 ; Cigarettes In Her Eyes (with 333)
Hannah Montana ; Wherever I Go
mysticphonk,Lil Peep ; Cut Myself
Brennan Savage ; Afterlife
Lil Happy Lil Sad,Kuroime ; Find Myself
Diplo,Lil Xan ; Color Blind
MAX ; Lights Down Low
Lil Uzi Vert ; XO TOUR Llif3
P2thegoldmask,Lil Peep ; Running Out Of Time (R.O.O.T.)
Sigrid ; Focus - Demo
Sigma ; Nobody To Love - Extended Mix
Lil Happy Lil Sad,Lilhappylilsad ; Hey Now
Trippie Redd,Travis Scott ; Dark Knight Dummo
Craig David ; Don't Love You No More (I'm Sorry)
Shontelle ; Impossible - Main
killedmyself ; street lights
Ecco2k ; Black Boy
XXXTENTACION ; Everybody Dies In Their Nightmares
Linkin Park ; One More Light
Lil Peep ; Better Off (Dying)
Desiigner ; Holy Ghost
Novo Amor,Ed Tullett ; Terraform
Rudimental,Jess Glynne,Macklemore,Dan Caplen ; These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Acoustic
XXXTENTACION ; Carry On
Dean Lewis ; Adore
P!nk ; I Don't Believe You
nothing,nowhere. ; Get Over It
Fifth Harmony,Kid Ink ; Worth It
James Arthur ; Say You Won't Let Go
Billie Eilish ; Six Feet Under
Yung Lean ; Miami Ultras
Twenty One Pilots ; Goner
Ross Copperman ; Holding On and Letting Go
Adam Lambert ; Whataya Want from Me
One Direction ; You & I
Tom Rosenthal ; Sex, Death and Landscapes
XXXTENTACION ; Look At Me!
lil aaron ; Escalade
$uicideBoy$,Maxo Cream ; Pictures (feat. Maxo Cream)
Sasha Sloan ; Ready Yet
Troye Sivan,Alex Hope ; BLUE
Oliver Francis ; Aahhyeahh
Azide,J Swey ; God I Am
Noah Cyrus,XXXTENTACION ; Again
Tom Odell ; Magnetised - Acoustic
Many Voices Speak ; Video Child
The Fray ; Over My Head (Cable Car)
guardin,huskai ; what i got
Whitney Houston ; I Will Always Love You
XXXTENTACION ; going down!
James Bay ; Slide
Sam Smith,John Legend ; Lay Me Down
Gavin James ; For You
DeathbyRomy ; No More
Spooky Black,Solomon Da God ; HotelSixNine (feat. Solomon da God)
James Arthur ; At My Weakest
Dean Lewis ; Waves
Diplo,Trippie Redd ; Wish - Trippie Mix
gnash,RKCB ; feelings fade
Kesha ; Praying
Paul Young ; Every Time You Go Away - Radio Edit
John Mayer ; Slow Dancing in a Burning Room
Pouya,Ghostemane ; 1000 Rounds
Christian Nodal ; Adios Amor
Fat Nick,$uicideBoy$ ; 2 Hot 4 U (feat. $Uicdeboy$)
Kerli ; Chemical
Rich Brian ; Who That Be (Josh Pan & West1ne Remix)
Alan Walker ; Faded
Brennan Savage ; Bulletproof
Jaymes Young ; What Is Love
Lil Skies ; Lust
XXXTENTACION ; hate will never win
SadBoyProlific,Mental. ; Dead and Cold
One Direction ; Love You Goodbye
Shawn Mendes ; Act Like You Love Me
John Mayer ; Gravity
Aqualung,Kina Grannis ; To The Wonder
Johnnie Guilbert ; Song Without a Name
Rag'n'Bone Man ; Skin
One Direction ; Change My Mind
Gavin DeGraw ; Not Over You
Samsa ; I Know How It Ends
Yung Lean ; Kyoto
Kelly Rida ; Read All About It, Pt. III
Battleme ; Hey Hey, My My
Sleeperstar ; I Was Wrong
Lil Peep ; Honestly
Oliver Francis ; Hip Bones
Miley Cyrus ; When I Look At You
Oliver Francis ; Jellyfish
Sonny ; Calm Down
Paloma Faith ; Only Love Can Hurt Like This
KILLY ; Doomsday
Matilda ; Naked
Fall Out Boy ; Centuries
The Script ; Breakeven
Star Cast ; Come Back (Home) To Me - From “Star (Season 1)" Soundtrack
XXXTENTACION,Matt Ox ; $$$ - with Matt Ox
NOK from the Future,Cousin Stizz,Night Lovell ; Up North (feat. Cousin Stizz & Night Lovell)
Trippie Redd ; Love Scars
Yung Lean,A$AP Ferg ; Crystal City
Adele ; Rolling in the Deep
James Bay ; Let It Go
Azide,J Swey,X:I ; I Am Not Painless
Adele ; Turning Tables
BEXEY,Fat Nick ; Stay Alive (feat. Fat Nick)
James Bay ; Us
Alfred Hall ; Someplace Beautiful
Trippie Redd ; Gore
Lil Peep ; Beamer Boy
The Vamps ; Wild Heart
$uicideBoy$ ; Memoirs Of A Gorilla
gnash,Liphemra ; get well soon (feat. liphemra)
Harry Styles ; Girl Crush - Recorded at Metropolis Studios, London
Maria Lynn ; Petty
Zara Larsson ; I Can't Fall in Love Without You
SAINt JHN ; Roses
Young Kira ; Raigeki
James Bay ; Scars
We The Kings,Elena Coats ; Sad Song (feat. Elena Coats)
KILLY ; Never Let Up
Lil Xan ; Been Bout It
Fat Nick,Ghostemane ; Sea Sick
Danger Incorporated ; Pack in My Bag
XXXTENTACION ; Depression & Obsession
Beyoncé ; Halo
Sarah McLachlan ; Angel
gnash ; tell me it's okay
Triple One ; Snake Bite Betty
SinceWhen,Lil Tracy,Smokeasac,Yung Cortex,MoneyPosse Tyler ; Cut Through Me Ft. Lil Tracy & Money Posse Tyler
Lady Gaga ; Million Reasons
Kodaline ; Love Like This - Acoustic
Dixie Chicks ; Landslide
gnash ; the broken hearts club
MØ ; Never Wanna Know
Lord Huron,Phoebe Bridgers ; The Night We Met (feat. Phoebe Bridgers)
Tom Odell ; You're Gonna Break My Heart Tonight
Shakewell ; Way Back
Lauv ; The Story Never Ends
Ghostemane ; Venom
Christina Perri ; distance
Alicia Keys ; If I Ain't Got You
Xuitcasecity ; Need Somebody (Acoustic)
Jordin Sparks,Chris Brown ; No Air (feat. Chris Brown)
Trippie Redd ; Limitless
Tom Odell ; Another Love
G-Eazy,Kehlani ; Everything Will Be OK
gnash ; closure (fea.T Skizzy Mars)
Trippie Redd ; Missing My Idols
guccihighwaters ; im so sick of this
Seether,Amy Lee ; Broken
Ruth B. ; If This is Love
Stan Walker,Kayo ; Homesick - Single Version
Years & Years ; Eyes Shut
Dustin Tebbutt ; Love Is Blind
Original God,Kamiyada+,Phantom Caine,Bella Lugxsi ; I Hate This Life But I Hate You More (ft. Kamiyada & Phantom Caine)
Flatsound ; If You Love Me, Come Clean
P!nk ; Wild Hearts Can't Be Broken
Lil Peep,Lil Tracy ; Awful Things
Shawn Mendes ; In My Blood
Sia,The Weeknd,Diplo ; Elastic Heart - From "The Hunger Games: Catching Fire"/Soundtrack
Demi Lovato ; Sober
Alessia Cara ; Stars
gnash,Olivia O'Brien ; i hate u, i love u (feat. olivia o'brien)
Leona Lewis ; Bleeding Love
Andrew Belle ; In My Veins - Feat. Erin Mccarley
Curtis Walsh ; Full Recovery
Kelly Clarkson ; Behind These Hazel Eyes
Sam Smith ; Leave Your Lover
Eryn Martin ; Trip
Maroon 5 ; Beautiful Goodbye
RHODES ; Blank Space
Vance Joy ; I'm With You
Coldplay ; Clocks
$uicideBoy$ ; FUCKALLOFYOU2K18
Little Mix,Jason Derulo ; Secret Love Song
Ruel ; Don't Tell Me
Logic,Alessia Cara,Khalid ; 1-800-273-8255
Avril Lavigne ; I'm with You
Nicki Minaj ; I Lied
Lil Happy Lil Sad,Teen Pregnancy,Lil Sophy,SoLonely,Poppy Tears ; Magical
Thaiboy Digital,Yung Lean ; Diamonds
Post Malone ; Go Flex
Daughter ; Youth
Jai Waetford ; Shy
Azide,J Swey,Sushii Boiis ; Gucci
Alyssa Reid ; Suffocating
Yung Lean ; Muddy Sea
Blackbear ; N Y L A
Bastille ; World Gone Mad
Ed Sheeran ; Supermarket Flowers
Original God,Suda,Yung Bambi,Rare Akuma ; Anxiety (ft. Suda & Yung Bambi)
Guy Sebastian ; Set In Stone
Greyson Chance ; Low
Rebecca Ferguson ; Nothing's Real but Love
nothing,nowhere. ; I'm Sorry, I'm Trying
Trippie Redd ; Taking A Walk
Original God,Braxton Knight ; Gameboy
Killstation ; Cement
Keaton Henson ; Alright
Triple One ; Libertine.
Matt Terry ; Sucker for You
Seafret ; Oceans
SinceWhen,Lil Peep,Lil Tracy,Smokeasac,Yung Cortex ; Us Ft. Lil Peep & Lil Tracy
Fabian Secon ; Defeated
Swiperboy ; Hello (Remix)
Post Malone,21 Savage ; rockstar
6obby ; far
Killstation ; Extinction
Russ ; Losin Control
The Chainsmokers,Halsey ; Closer
Blackbear ; Idfc
Calle Hamre,Ken Stringfellow ; Restore My Heart
93FEETOFSMOKE ; aint talkin bout shit (prod. 93FEETOFSMOKE)
One Direction ; Strong
Glee Cast ; Get It Right (Glee Cast Version)
Night Lovell ; Deira City Centre
Vic Mensa ; Liquor Locker
NAV,Metro Boomin ; Held Me Down
Tom Walker ; Leave a Light On
gnash,rosabeales ; u just can't be replaced (feat. rosabeales)
James Arthur ; Train Wreck
Kelly Clarkson ; Stronger (What Doesn't Kill You)
Ruth B. ; Superficial Love
Billy Lockett ; Empty House
Peter Manos ; In My Head
A Great Big World ; Say Something
Vera Blue ; Mended
Birdy,RHODES ; Let It All Go
Global Dan,Mongo ; Off White (feat. Mongo)
Trippie Redd ; Together
Birdy ; Not About Angels
Birdy ; Without A Word
Sia ; Elastic Heart
Rhys Lewis ; No Right To Love You - Acoustic
gnash ; ilusm
ITSOKTOCRY ; Ego Death
Sigrid ; Dynamite - Acoustic
Nedarb ; Kill Yourself
EZI ; Need You Like That
Willamette Stone ; Heart Like Yours
The Fray ; Look After You
Casper Jones ; Jupiter
Evanescence ; Bring Me To Life
OnCue ; This View From Here
Post Malone,Ty Dolla $ign ; Psycho (feat. Ty Dolla $ign)
Bruno Mars ; When I Was Your Man
Kevin Garrett ; Coloring
Charlie Puth,Selena Gomez ; We Don't Talk Anymore (feat. Selena Gomez)
Kid $Ixty ; You Think You Know Me
He Is We ; I Wouldn't Mind
Camila Cabello ; I Have Questions
Avicii,Sam Feldt ; Waiting For Love - Sam Feldt Remix
Chord Overstreet ; Hold On
Billie Eilish,Khalid ; lovely (with Khalid)
Taps ; Wanna Hear Your Voice
Cover Drive ; Twilight
Selena Gomez ; Come & Get It
Juice WRLD ; All Girls Are The Same
Yunggoth✰,Lil Peep ; Crying (feat. Lil Peep)
Colbie Caillat ; I Never Told You
Calum Scott ; Dancing On My Own
The Weeknd ; In The Night
Juice WRLD ; Lucid Dreams
Oliver Francis ; Polo Socks
The Veronicas ; You Ruin Me
6ix9ine ; BILLY
Jorja Smith ; Goodbyes
Zayion McCall ; NeverLand
Adele ; Hello
$uicideBoy$ ; Kill Yourself (Part III)
Sasha Sloan ; The Only
NF ; Wait
Elley Duhé ; STARZ
Cody Simpson ; Pirates Dream
James Bay ; Hold Back The River
Albin Lee Meldau ; Lou Lou
Michl ; Broken Roots
Twenty One Pilots ; Car Radio
SYML ; Hurt for Me
Rare Akuma,Kamiyada+ ; RAGING FISTS w/ KAMIYADA
Lewis Watson ; what about today?
Ellie Goulding ; How Long Will I Love You - Bonus Track
Lewis Capaldi ; Tough - Acoustic
Lil Peep,Lil Tracy ; White Wine
Alexander Asp ; New Love Affair
Alessia Cara ; River Of Tears
Imagine Dragons ; Demons
Ambar Lucid ; Eyes
Matt Corby ; Runaway - Live On The Resolution Tour
Brooke Butler ; Broken
Lil Lano ; Wendy
Jordin Sparks,Chris Brown ; No Air
6ix9ine ; GOTTI
Sleeping At Last ; You Wouldn't Like Me
Nick Jonas,Tove Lo ; Close
Vague002 ; Sundown
Glee Cast ; Seasons Of Love (Glee Cast Version)
Grace Carter ; Why Her Not Me
isaac gracie ; that was then
Christopher ; Heartbeat
Alicia Keys ; Try Sleeping with a Broken Heart
Maria Mena ; I Don't Wanna See You with Her
ZAYN ; Entertainer
XXXTENTACION ; changes
One Direction ; More Than This
ITSOKTOCRY,fats'e,velvetears,boofgod ; VAMPIRE DIARIES w/ FATS'E & VELVETEARS ( + boofgod )
Kodaline ; Blood and Bones
Juliander ; Afterglow
Band of Horses ; The Funeral
TLC ; Unpretty
6obby,HKFiftyOne ; Worries
XXXTENTACION ; King
Bobby Raps,Corbin ; Welcome to the Hell Zone
Pink Sweat$ ; No Replacing You
P!nk,Nate Ruess ; Just Give Me a Reason
Linkin Park ; Waiting For The End
Yung Lean ; Hunting My Own Skin
Liza Anne ; 1,000 Years
Seafret ; Oceans - Acoustic Version from Osea Island
SYML ; Girl - Acoustic
Sara Bareilles,Ingrid Michaelson ; Winter Song
Dua Lipa ; Homesick
Lil Peep ; Save That Shit
XXXTENTACION ; Indecision
Finding Hope ; 3:00 AM
Plumb ; Cut
Pouya ; Daddy Issues
Rihanna,Drake ; Work
6obby,convolk ; i don't feel fine
BEXEY,Gab3 ; Hollywood Angel
NF,Jeremiah Carlson ; I'll Keep On
VELVETEARS,93FEETOFSMOKE ; It Hurts So Bad ft. 93FEETOFSMOKE (prod. Lil Soda Boi)
Daughter ; Smother
LiL Lotus,Cold Hart,Nedarb ; Bodybag ft. cold hart
Anno Domini Beats ; Apologize Remix
Labrinth ; Jealous
The Fray ; How to Save a Life
Keaton Henson ; Petrichor
Tyler, The Creator,A$AP Rocky ; Who Dat Boy
XXXTENTACION,Joey Bada$$ ; infinity (888) - feat. Joey Bada$$
Russ ; September 16
R. Kelly ; Ignition - Remix
Danger Incorporated ; Three Years
MISOGI,Madeaux,ManMan Savage ; Swervin'
Daughter ; Medicine
Global Dan,Mongo ; Off-White (feat. Mongo)
Scarlxrd ; Glx Up
Kevin Garrett ; Control
Clean Bandit,Louisa ; Tears (feat. Louisa Johnson)
Killstation,Brennan Savage,Ghostemane,Omen Xiii,Lil Peep,Kold Blooded,JGRXXN ; Homecoming
James Smith ; T-Shirts - Acoustic
Jonas Blue,Dakota ; Fast Car
Kevin Garrett ; Never Knock
Mike Posner,Seeb ; I Took A Pill In Ibiza - Seeb Remix
James Blunt ; Goodbye My Lover
Blanche ; City Lights - Acoustic
Ed Sheeran ; Wake Me Up
The Cab ; Angel With A Shotgun
The Script ; Before the Worst
Sia ; Midnight Decisions
The National ; Nobody Else Will Be There
XXXTENTACION,PnB Rock ; SMASH! - feat. PnB Rock
INNA ; Sun Is Up - UK Radio Edit
Twinsmatic ; Friday
One Direction ; Little Things
Aquilo ; Sorry
Beyoncé ; Irreplaceable
Aquilo ; Silhouette
Bladee,Yung Lean ; Gotham City
LÉON ; Liar
Avril Lavigne ; Complicated
Mark Diamond ; Lightning (Lost Recording #4)
333,Vague003 ; Slide
Adele ; Someone Like You
shinigami ; A Fallen Angel
Russ ; Pull The Trigger
Molly Sandén ; Why Am I Crying
Fifth Harmony ; Miss Movin' On - Acoustic
James Arthur ; Can I Be Him
Mr. Mister ; Broken Wings
P!nk ; Try
The Weeknd ; The Hills
Oliver Francis ; Wwaavvyy
Azide,J Swey,Blak Trash,Milano The Don ; G's Never Lie
lil aaron ; GLOING PAIN$
Kodaline ; The One
Glee Cast ; If I Die Young (Glee Cast Version)
Tom Walker ; Fly Away With Me
Ella Henderson ; Yours
Olivia O'Brien ; hate u love u
Zara Larsson ; Lush Life
Keaton Henson ; How Could I Have Known
XXXTENTACION ; SAD!
Vague002,333 ; I Already Know
Ed Sheeran ; Autumn Leaves
Haux ; Caves
KILLY ; Forecast
Timbaland,Katy Perry ; If We Ever Meet Again - International Radio Edit
The Fray ; You Found Me
Isabella Breedlove ; 1000 Years
Keaton Henson ; You
Sam Smith ; Make It To Me
Little Mix ; Good Enough
SadBoyProlific,Indii G. ; Blow My Phone Up
Justin Timberlake ; Cry Me a River
$uicideBoy$ ; Mount Sinai
Skinny Living ; Why
CHVRCHES ; Get Out - Recorded At Spotify Studios NYC
21 Savage,XXXTENTACION ; Never
Keaton Henson ; The Pugilist
Picture This ; This Morning
Machine Gun Kelly,Camila Cabello ; Bad Things - With Camila Cabello
blink-182 ; I Miss You
Lil Bo Weep,killedmyself ; i wrote this song 4 u
JaneDoe,Rothstein ; Overnight
Christina Perri ; A Thousand Years
Ed Sheeran ; Photograph
BEXEY,Lil Peep ; Nightslayer
XXXTENTACION ; I Don't Wanna Do This Anymore
Jasmine Thompson ; Let Her Go
Scarlxrd ; The Purge
Trippie Redd ; Bird Shit
Ghostemane ; John Dee
Flatsound ; Someone Who Will Talk About Anything
Lil Happy Lil Sad ; Survive
Pouya,Ghostemane ; 2000 Rounds
Lauv ; Superhero
Ruth B. ; Mixed Signals
Luke Friend ; Hole in My Heart
Secondhand Serenade ; Fall For You
Meghan Trainor,John Legend ; Like I'm Gonna Lose You
Greyson Chance ; Waiting Outside The Lines
The Weeknd ; Devil May Cry - From “The Hunger Games: Catching Fire” Soundtrack
$uicideBoy$ ; Paris
Mark Diamond ; You're My Girl (Lost Recording #6)
Sam Smith ; Too Good At Goodbyes
Brennan Savage ; Cold World
A Boogie Wit da Hoodie,Kodak Black ; Drowning (feat. Kodak Black)
Alex & Sierra ; You're The One That I Want
Powfu,Two:22 ; Sorry I Never Apologized
Gus Dapperton ; Moodna, Once with Grace
XXXTENTACION ; Save Me
Staind ; It's Been Awhile
Haley Reinhart ; Can't Help Falling in Love
Shawn Mendes ; A Little Too Much
The Reasn ; Glow
Rachel Platten ; Fight Song
J Swey,Azide ; My Dear "M"
Ambar Lucid ; A Letter to My Younger Self
Yung Lean,Travis Scott ; Ghosttown
Band of Horses ; No One's Gonna Love You
Danger Incorporated ; Golden
XXXTENTACION ; the remedy for a broken heart (why am I so in love)
Keaton Henson ; Flesh And Bone
Getter,Ghostemane ; Beware, the Sirens
NOK from the Future ; New England
Beyoncé ; Scared of Lonely
All Time Low ; Therapy
Global Dan ; Global Gang
Richard Fairlie ; Torn
Jasmine Thompson ; Like I'm Gonna Lose You
Robinson ; Don't Trust Myself
Ghostemane ; Hades
Bastille ; Oblivion
Coldplay ; A Sky Full of Stars
Tom Odell,Alice Merton ; Half As Good As You (feat. Alice Merton)
Vague003 ; We Won't Speak Like This Again
XXXTENTACION ; Moonlight
nothing,nowhere. ; Everything
An Echoic ; Love (..As I Was Told)
BJ The Chicago Kid ; Falling On My Face
Passenger ; Let Her Go
Kurt Hugo Schneider,Austin Percario,Victoria Canal ; Torn (feat. Austin Percario & Victoria Canal) - Natalie Imbruglia Cover
Miley Cyrus ; Adore You
Chris Brown ; Should've Kissed You
Lifehouse ; It Is What It Is
The Saturdays,Sean Paul ; What About Us
Christina Perri,Steve Kazee ; A Thousand Years (feat. Steve Kazee) - Part 2
Wifisfuneral,Ugly God ; Wya? (feat. Ugly God) - Remix
Academic Dishonesty ; Winds of Change
Billie Marten ; Cursive
Jeremy Zucker ; Weakness
Billie Eilish ; ocean eyes
AURORA ; Half the World Away
Cody Fry ; Find My Way Back
Bladee ; No Life Left
Benjamin Francis Leftwich ; Tilikum
Evanescence ; My Immortal
Rihanna ; Close To You
Rihanna ; What Now
Lil Peep,Wicca Phase Springs Eternal ; Absolute in Doubt
Fozzey & VanC ; Perfect Couple 2
Ariana Grande ; Be Alright
Rihanna ; You Da One
yung van ; Dear Death, I Miss You
Azide,J Swey,Blak Trash ; 16
Leona Lewis ; Run
Jorja Smith ; So Lonely
JaneDoe ; Saving
Adam Saleh,Zack Knight ; Tears (feat. Zack Knight)
Lil Xan ; No Love
Oliver Francis ; Tru$T
Trippie Redd ; UKA UKA
Original God,Kamikaze Kane ; Yung Gods (ft. Kamikaze Kane)
BONES ; Dirt
nothing,nowhere. ; Gutter
Powfu ; Feel It All
Jason Walker ; Echo
Smokepurpp ; Glock In My Benz
Josh A,Iamjakehill ; Suicidal Thoughts
RHODES ; Wishes
Jessie Ware ; Thinking About You
Trippie Redd ; Shake It Up
Birdy ; Skinny Love
Plested ; Worthy Of You
Darci ; Don't Ask
Sia ; Breathe Me
KILLY ; Fireflies (Outro)
Justin Garner ; Already Written
Rixton ; Me And My Broken Heart
guardin ; demons in my orbit
Land of Trees ; There's A Reason
Daniel Schulz ; Turn Back Time
One Direction ; They Don't Know About Us
Gabrielle Aplin ; Please Don't Say You Love Me
Lord Huron ; The Night We Met
Hucci ; Montana
Lil Xan ; Xanarchy
The Fray ; Never Say Never
nothing,nowhere. ; Twenty Something
NF ; How Could You Leave Us
John Legend ; All of Me
JP Cooper ; In The Silence - Demo
Lil Xan,Oohdem Beatz ; Who Are You?
Aquilo ; Six Feet Over Ground
Triple One ; Autumn Collection
Tom Rosenthal ; Pingu in the Igloo
XXXTENTACION,Rio Santana,Judah,Carlos Andrez ; I don’t even speak spanish lol - feat. Rio Santana, Judah, Carlos Andrez
Nae Sano ; Gucci Glasses
XXXTENTACION ; Hope
FLETCHER ; I Believe You
Unaverage Gang ; Death Grip
Foreign Forest,Scotty Splash ; I Want A Girl I Can Be Pretty With
Beyoncé ; Heaven
Bobby Raps,Corbin ; Frozen Tundra
Nae Sano ; Feel Bad
Tom Odell ; Heal
Post Malone ; Feeling Whitney
Paramore ; The Only Exception
Miley Cyrus ; Wrecking Ball
Sarah McLachlan ; When She Loved Me
Demi Lovato ; Heart Attack
Jarryd James ; Do You Remember
James Morrison ; You Make It Real
Lund ; Broken
Demotus ; The One
James Blunt ; Bonfire Heart
Timbaland,OneRepublic ; Apologize
BIGBANG ; LOSER
Yung Lean ; Hoover
Vancouver Sleep Clinic ; Someone To Stay
Awa ; Not Ready to Say Goodbye - Piano version
XXXTENTACION,Travis Barker ; Pain = BESTFRIEND - feat. Travis Barker
Post Malone ; I Fall Apart
PRXJEK ; VOICESINMYHEAD
Ski Mask The Slump God ; Giggle
Lia Marie Johnson ; DNA
The Cinematic Orchestra ; To Build A Home
DeathbyRomy ; Stronger
NONONO ; Down Under - Acoustic
Jack Bruno,Famous Dex ; 2 Goth Kids (feat. Famous Dex)
The Vamps ; Somebody To You
LANY ; I Don't Wanna Love You Anymore
Verzache ; Juvenescence
Selena Gomez ; Only You
Taylor Henderson ; When You Were Mine
DeathbyRomy,Yung Bans ; High
Ed Sheeran ; I See Fire
Death Notez,XXXTENTACION ; Angelic Demon
Ray LaMontagne ; Such A Simple Thing
XXXTENTACION,Trippie Redd ; Fuck Love (feat. Trippie Redd)
Jeremy Zucker,Chelsea Cutler ; better off
Luke Cusato ; Breathe
Canyon City ; Alone With You
Daphne Khoo ; Weak
Ghostemane ; D(R)Own
Kelly Clarkson ; Mr. Know It All
Lil Xan ; Slingshot
Rihanna ; Needed Me
Trippie Redd,6ix9ine ; Poles 1469
You Me At Six ; Take on the World
Getter,Ghostemane ; Bury Me
L Devine ; Panic
guardin ; yesterday
Christian Akridge ; Can't Help Falling in Love
Saint Claire ; Enough for You
Innanet James,Pusha T,KALLITECHNIS ; Better Without You
Chris Mann ; Remember Me
NF ; Got You On My Mind
Aquilo ; Who Are You
Jason Walker ; Down
NF ; Let You Down
Wrabel ; Bloodstain
Creek Boyz ; With My Team
The Kooks ; Naive
Renee Sandstrom ; Here I Am
Toyko ; satellite
Sleeping At Last ; Turning Page
Freya Ridings ; Lost Without You
Alex & Sierra ; I Love You
Capo ; Danger Hour (feat. Capo)
$uicideBoy$ ; 2nd Hand
ryanjacob,Dylan Brady,Lil West,Lewis Grant,Curtis Heron,Lil' Aaron ; Been Around (feat. Dylan Brady, Lil West, Lewis Grant, Curtis Heron & Lil Aaron)
nothing,nowhere. ; Black Heart
Love Cove ; Hello
Andrew Seoul ; Evil Morty (From "Rick and Morty")
nothing,nowhere.,Lil West ; REM (feat. Lil West)
Mappe Of ; Cavern's Dark
Greyson Chance ; Good as Gold
16yrold,KILLY ; No Romance
Lil Xan ; Betrayed
Ella Henderson ; Missed
Yung Lean ; Yoshi City
Elliott Smith ; Between the Bars
