MKTO ; Classic
Alexi Blue ; Ice Cold
William Barry ; Waiting
Jared Lee,Mokita ; Professional Lovers - Mokita Remix
Tove Styrke ; Number One
Ariana Grande ; One Last Time
Green Day ; Welcome to Paradise
Dirty Heads,Rome of Sublime ; Lay Me Down
Louis Armstrong ; What A Wonderful World
Meghan Trainor ; Better When I'm Dancin'
Luis Fonsi,Daddy Yankee,Justin Bieber ; Despacito - Remix
Baha Men ; Who Let The Dogs Out
Rihanna,Kanye West,Paul McCartney ; FourFiveSeconds
Charlie Puth ; Attention
The Beatles ; Good Day Sunshine - Remastered 2009
Paramore ; Hard Times
Meghan Trainor ; NO EXCUSES
Avril Lavigne ; Here's to Never Growing Up
Marvin Gaye,Tammi Terrell ; Ain't No Mountain High Enough
Bruno Mars ; That's What I Like
Nico & Vinz,Kid Ink,Bebe Rexha ; That's How You Know (feat. Kid Ink & Bebe Rexha)
Eagles ; One Of These Nights - Remastered
Fais ; Make Me Do
MAGIC! ; Red Dress
Sam Sparro ; We Could Fly
Alexi Blue ; 180
King Princess ; 1950
MØ ; Way Down
Mungo Jerry ; In the Summertime
Lady Gaga ; Applause
Little Richard ; Keep A Knockin'
Rupert Holmes ; Escape (The Pina Colada Song)
AJR ; Weak
Big Sean ; Jump Out The Window
Avicii ; Trouble
HRVY,Malu Trevejo ; Hasta Luego
Duke Dumont,Ebenezer ; Inhale
5 Seconds of Summer ; Valentine
Milky Chance ; Cocoon
Kelly Clarkson ; Medicine
Dirty Heads ; Day By Day
Louis Armstrong ; La vie en rose - Single Version
D-Sol ; Don't Stop
nobigdyl. ; enemies?
The Struts ; Ballroom Blitz
Avicii,Rita Ora ; Lonely Together (feat. Rita Ora)
Silk City,Dua Lipa,Diplo,Mark Ronson ; Electricity (with Dua Lipa)
Saint Motel ; Cold Cold Man
Jess Glynne ; I'll Be There
JP Cooper ; September Song
King Henry,Sasha Sloan ; I'll Be There
Kiah ; A Favorite Song
Imagine Dragons ; Next To Me
The Weeknd ; Can't Feel My Face
Lika Morgan ; Saturday Night
Aretha Franklin ; Respect - Remastered
Clean Bandit,Sean Paul,Anne-Marie ; Rockabye (feat. Sean Paul & Anne-Marie)
Hailee Steinfeld,DNCE ; Rock Bottom
Kygo,John Newman ; Never Let You Go (feat. John Newman)
Al Green ; Love and Happiness
Sublime ; Doin' Time
Selena Gomez ; Back To You - From 13 Reasons Why – Season 2 Soundtrack
Andy Grammer ; Fresh Eyes
Neil Diamond ; Sweet Caroline
Fifth Harmony ; Sledgehammer
Jay Hardway ; Solid
Nick Jonas ; Levels
Timeflies ; All The Way
Maroon 5 ; Sunday Morning
Felix Jaehn,Mike Williams ; Feel Good
BTS,Nicki Minaj ; IDOL
Little Mix ; Shout Out to My Ex
MAGIC!,Sean Paul ; Lay You Down Easy
Sia ; Elastic Heart
Green Day ; 21 Guns
Selena Gomez ; Same Old Love
Grouplove ; Tongue Tied
Alice Merton ; No Roots
Luke Christopher ; Lot to Learn
TINI,Sebastian Yatra ; Quiero Volver
Donnie Trumpet & The Social Experiment ; Sunday Candy
Julia Michaels ; Worst In Me
Matt Simons,Falco Van Den Aker,Bob Van Ratingen ; Catch & Release - Deepend Remix
Kolohe Kai ; Heartstrings
Hifi Sean,Crystal Waters ; Testify (feat. Crystal Waters) - Radio Edit
Ben E. King ; Stand By Me
Peter Schilling ; Major Tom (völlig losgelöst)
Michael Bublé ; I Believe in You
Lanes ; You're Somebody
Avicii ; Sunset Jesus
Sigrid ; Schedules
Lemaitre ; Big
Vance Joy ; Fire and the Flood
Anuhea ; Island Inside Me
The Del-Vikings ; Come Go With Me - Single Version
The Lemonheads ; Mrs. Robinson
Hot Chocolate ; You Sexy Thing
Jess Glynne ; 123
Avicii ; Touch Me
Jimmy Cliff ; Reggae Night
Frankie Valli & The Four Seasons ; Working My Way Back To You
Coasts ; Oceans
Elvis Presley ; You Don't Have To Say You Love Me - The Afternoon Show, 2012 Mix
Joel Adams ; Please Don't Go
Clean Bandit,Jess Glynne ; Rather Be (feat. Jess Glynne)
Emma Buckley ; Prove You Wrong - Acoustic
Kid Koala ; 2 bit Blues
Fall Out Boy ; The Last Of The Real Ones
Faulkner ; Hot Streak
Macklemore,Kesha ; Good Old Days (feat. Kesha)
OMI ; Hula Hoop
Calvin Harris ; My Way
Jess Glynne ; Hold My Hand
Demi Lovato ; Confident
Johnny Orlando,Mackenzie Ziegler ; What If
Of Good Nature ; Feels Right
The Beatles ; She Loves You - Mono / Remastered
Life of Dillon ; Overload
Coldplay ; Viva La Vida
The Supremes ; You Can't Hurry Love
Daniel Powter ; Bad Day
Empire of the Sun ; Walking On A Dream
The Struts ; Kiss This - Acoustic
Prince ; Kiss
The New Schematics ; Automatic
Nelly Furtado ; I'm Like A Bird
Bobby Caldwell ; What You Won't Do For Love
Camila Cabello ; Crying in the Club
The Cure ; Friday I'm In Love
The Beach Boys ; All I Wanna Do - Remastered 2009
Mike Williams ; Bambini
Matt Terry ; Sucker for You
Nick Jonas,Robin Schulz ; Right Now
Imagine Dragons ; Natural
Zara Larsson ; Ain't My Fault
Ariana Grande ; Dangerous Woman
Beyoncé ; Love On Top
Eddie Floyd ; Knock On Wood
Nena ; 99 Luftballons
The Beach Boys ; Heroes And Villains - Remastered
Dua Lipa ; New Rules
Lucas & Steve,Mike Williams,Curbi ; Let's Go
Prince,Zooey Deschanel ; FALLINLOVE2NITE
Elvis Presley ; That's All Right
Eric Church ; Desperate Man
Pnau,Blanke ; Changa - Blanke Remix
Zedd,Selena Gomez ; I Want You To Know
David Guetta,Bebe Rexha,J Balvin ; Say My Name
Imagine Dragons ; Thunder
Hailee Steinfeld,BloodPop® ; Capital Letters
Tomer ; Bright
Hailee Steinfeld,Alesso,Florida Georgia Line,watt ; Let Me Go (with Alesso, Florida Georgia Line & watt)
Britney Spears,G-Eazy ; Make Me... (feat. G-Eazy)
Olly Murs,Snoop Dogg ; Moves (feat. Snoop Dogg)
Jonas Blue,Jack & Jack ; Rise
La Garfield ; Happy
Shawn Mendes,Zedd ; Lost In Japan - Remix
Who Is Fancy,Meghan Trainor,Ariana Grande ; Boys Like You
Boston Bun,DVNO ; Spread Love (Paddington) [feat. DVNO]
Julia Michaels ; Make It Up To You
Gabbie Hanna ; Out Loud
Angus & Julia Stone,ARTY ; Chateau - ARTY Remix
Maroon 5 ; Wait
Katy Perry ; This Is How We Do
Avicii ; You Make Me
Galantis ; Mama Look At Me Now
Robin Schulz,Francesco Yates ; Sugar (feat. Francesco Yates)
Capital Cities ; Safe And Sound
Rostam ; Wood
The Kooks ; Naive
Frankie Valli ; Grease - 2007 Remastered Version
Twenty One Pilots ; Ride
Galantis,MAX ; Satisfied (feat. MAX)
Suzanne Vega,DNA ; Tom's Diner
Liron ; Piña Coladas
Nick Jonas ; Find You
Tommie Sunshine,Disco Fries,Wrongchilde,Sierra Kusterbeck ; Dance 2 Your Heartbeat
Little Mix,Machine Gun Kelly ; No More Sad Songs
Wings ; Let 'Em In - 1993 Digital Remaster
Imagine Dragons ; On Top Of The World
Sigrid ; High Five
Coldplay ; Don't Panic
Khalid ; 8TEEN
Café Tacvba ; Una Mañana
The Offspring ; You're Gonna Go Far, Kid
Avicii ; Addicted To You
Maroon 5,SZA ; What Lovers Do (feat. SZA)
Alexi Blue ; July (All Because Your Love)
The Monkees ; I'm A Believer
Years & Years ; Sanctify
Wale,Major Lazer,WizKid,Dua Lipa ; My Love (feat. Major Lazer, WizKid, Dua Lipa)
Maroon 5 ; Maps
Cage The Elephant ; Cigarette Daydreams
Alexi Blue ; I Don't Wanna Wait
Dishwalla ; Counting Blue Cars (Tell Me Your Thoughts On God)
Coldplay,Seeb ; Hymn For The Weekend - Seeb Remix
Cheat Codes,Demi Lovato ; No Promises (feat. Demi Lovato)
Alvaro Soler ; La Cintura
Hot Chelle Rae ; Tonight Tonight
Justin Timberlake ; CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")
Alexi Blue,Malachi Amour ; I Don`t Speak Tru$t Fund
The Buggles ; Video Killed The Radio Star
DNCE ; Toothbrush
Michael Franti & Spearhead ; The Sound Of Sunshine
Culture Club ; Karma Chameleon
Marshmello,Bastille ; Happier
Smash Mouth ; All Star
Sean Paul,Dua Lipa ; No Lie
The Five Stairsteps ; O-o-h Child - Remastered
Jay & The Americans ; Come A Little Bit Closer
Daryl Hall & John Oates ; Rich Girl - Remastered
I Me Mine ; Aviator
Sara Bareilles ; King Of Anything
Vampire Weekend ; A-Punk
The Chainsmokers,Emily Warren ; Side Effects (feat. Emily Warren)
Selena Gomez ; Hands To Myself
Panic! At The Disco ; Victorious
NONONO ; Pumpin Blood
Selena Gomez,Marshmello ; Wolves
Cher ; SOS
Vigiland ; Take This Ride
Kelly Clarkson ; Love So Soft
Panic! At The Disco ; Nine In The Afternoon - Radio Mix
MOTi,BullySongs ; Just Don't Know It Yet
Little Mix ; Black Magic
Of Monsters and Men ; Mountain Sound
Charlie Puth,Selena Gomez ; We Don't Talk Anymore (feat. Selena Gomez)
George Ezra ; Shotgun
Bob Marley & The Wailers ; Jamming
The Who ; My Generation
Jamiroquai ; You Give Me Something
Andrew Butcher ; What Is
Zedd,Maren Morris,Grey ; The Middle
Lily Allen ; Smile
Sweet ; Fox On The Run
Ed Sheeran ; Galway Girl
Rusted Root ; Send Me On My Way
Bobby Darin ; Dream Lover
Two Door Cinema Club ; Something Good Can Work
Emma Buckley ; When It's Easy - Acoustic
Greg Gatsby,Stef Kalloo,Braveboy ; Runaway Love (feat. Stef Kalloo & Braveboy)
Blind Melon ; No Rain
Jason Derulo ; If I'm Lucky
Justin Jay,Benny Bridges,Josh Taylor ; Let Go
Alessia Cara ; Growing Pains
Zara Larsson ; Sexual - Recorded at Spotify Studios NYC
Wham! ; Wake Me up Before You Go-Go
David Guetta,Justin Bieber ; 2U (feat. Justin Bieber)
La+ch,Coleman Hell,Jayme ; You Are My Summer
Kodak Black ; Patty Cake
MNEK,Hailee Steinfeld ; Colour
Aly Youranday ; Superhero
Vance Joy ; Saturday Sun
The Vitals ; Shine
Thin Lizzy ; The Boys Are Back in Town
Avicii ; Wake Me Up
Beyoncé ; Freakum Dress
B.o.B ; Magic - feat. Rivers Cuomo
Major Lazer,Ellie Goulding,Tarrus Riley ; Powerful (feat. Ellie Goulding & Tarrus Riley)
Selena Gomez ; The Heart Wants What It Wants
WALK THE MOON ; Shut Up and Dance
James Brown & The Famous Flames ; I Got You (I Feel Good)
Shawn Mendes ; Stitches
Katy Perry ; Roar
AC/DC ; You Shook Me All Night Long
Fatboy Slim ; Praise You - Radio Edit
Carole King ; I Feel the Earth Move
Sheppard ; Geronimo
Kelly Clarkson ; Heartbeat Song
Bob Marley & The Wailers ; One Love
Tom Jones ; It's Not Unusual
Justin Bieber,BloodPop® ; Friends (with BloodPop®)
Yelle ; Ce jeu
Rick Springfield ; Jessie's Girl
Third Eye Blind ; Jumper - 1998 Edit
Nico & Vinz ; Am I Wrong
Avicii ; Waiting For Love
Kolohe Kai ; Higher
Hooverphonic ; Uptight
Ed Sheeran ; Castle on the Hill
Liam Payne,French Montana ; First Time
Looking Glass ; Brandy (You're a Fine Girl)
Sugar Ray ; Fly
Maggie Szabo ; Only Human - (From "Sierra Burgess Is a Loser")
Griffin Peterson ; I'm in Trouble
John Travolta,Olivia Newton-John ; Summer Nights
Lil Wayne,Charlie Puth ; Nothing But Trouble - Instagram Models
Elton John ; Bennie And The Jets - Remastered 2014
Dan + Shay ; Alone Together
Afroman ; Because I Got High - From "Jay And Silent Bob Strike Back" Soundtrack
Picture This ; When We Were Young
Twenty One Pilots ; Lane Boy
Chuck Berry ; Johnny B. Goode
Duffy ; Mercy
Elton John ; Rocket Man (I Think It's Going To Be A Long, Long Time)
DUSK,M.O ; With You
Julia Michaels ; Just Do It
DJ Snake,Justin Bieber ; Let Me Love You
The Underhill Family Orchestra ; When the Trumpet Sounds
Rednex ; Cotton Eye Joe
Billy Joel ; Uptown Girl
fun.,Janelle Monáe ; We Are Young (feat. Janelle Monáe)
Daryl Hall & John Oates ; You Make My Dreams
Inner Circle ; Sweat (A La La La La Long)
Felix Cartal ; Get What You Give
Lady Gaga ; The Cure
Berget Lewis ; And I'm Telling You
Johnny Orlando ; Last Summer
Robin Thicke,T.I.,Pharrell Williams ; Blurred Lines
Nick Jonas ; Chains
Green Day ; Wake Me Up When September Ends
Dirty Heads,Matisyahu ; Dance All Night
Rick Astley ; Never Gonna Give You Up
Dan Caplen,Caitlyn Scarlett ; 4am
Rita Ora,Bebe Rexha,Charli XCX,Cardi B ; Girls (feat. Cardi B, Bebe Rexha & Charli XCX)
Gnarls Barkley ; Crazy
J Boog,Peetah Morgan ; Sunshine Girl
Jess Glynne ; All I Am
Milky Chance ; Flashed Junk Mind
Little Mix ; You Gotta Not
Hailee Steinfeld ; Most Girls
ABBA ; Dancing Queen
The Temptations ; My Girl
Kygo,Miguel ; Remind Me to Forget
Ella Henderson ; Ghost
Natalie Cole ; This Will Be (An Everlasting Love)
Jennifer Lopez,DJ Khaled,Cardi B ; Dinero
Ricky Nelson ; Hello Mary Lou (Goodbye Heart)
Rainbow Kitten Surprise ; Mr. Redundant
Vance Joy ; Riptide
Toree,Applesauce ; No No
Sublime With Rome ; Wherever You Go
Robin Schulz ; Oh Child
Manu Chao ; Me Gustas Tu
Ingrid Michaelson ; Be OK
Flo Rida,99 Percent ; Cake
Bob Marley & The Wailers ; Three Little Birds
Pharrell Williams,Camila Cabello ; Sangria Wine
Lost Frequencies,Janieck Devy ; Reality - Radio Edit
Alexi Blue ; Royalty
Niall Horan ; Slow Hands
Meghan Trainor ; CAN'T DANCE
Train ; Hey, Soul Sister
Daya ; Hide Away
Sam Cooke ; A Change Is Gonna Come
Alex Larsson ; We've Got Some Shit to Sort
Justin Bieber,Travis Scott ; No Sense
Avicii ; Lay Me Down
Kolohe Kai ; Ehu Girl
The Vamps,Matoma ; All Night
Alle Farben,Graham Candy ; She Moves
The Black Eyed Peas ; BIG LOVE
Michael Jackson ; The Way You Make Me Feel - Single Version
The Temptations ; My Girl - "16 Big Hits" Stereo Version
Fairview ; Our Little Secret
Taylor Swift,BloodPop® ; ...Ready For It? - BloodPop® Remix
Macklemore & Ryan Lewis,Grandmaster Melle Mel,Eric Nally,Grandmaster Caz,Kool Moe Dee ; Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)
The Jackson 5 ; ABC
Hanna Rae ; Without Letting Go
Third Eye Blind ; Semi-Charmed Life
Griffin Peterson ; Let It Begin
Nico Santos ; Safe
Dua Lipa ; IDGAF
Selena Gomez ; Kill Em With Kindness
Ben E. King ; Stand By Me - Single/LP Version
Liam Payne ; Bedroom Floor
Bazzi ; Beautiful
Maroon 5 ; Animals
Dexys Midnight Runners ; Come On Eileen
Sabrina Carpenter,R3HAB ; Almost Love - R3HAB Remix
Sabrinha Ceu ; Samba De Bencao
The Ronettes ; Be My Baby
Sugar Ray ; Someday - Remastered
Red Hot Chili Peppers ; Snow (Hey Oh)
Red Hot Chili Peppers ; Aeroplane
Meghan Trainor ; I'm a Lady - from SMURFS: THE LOST VILLAGE
Alexi Blue ; Kicked a Girl
Noah And The Whale ; 5 Years Time
Taylor Swift ; Look What You Made Me Do
Buddy Holly ; Everyday - Single Version
Nora Collins ; Who Knows Who
Roo Panes ; Tiger Striped Sky
Elvis Presley,JXL ; A Little Less Conversation - JXL Radio Edit Remix
Elvis Presley ; (You're The) Devil in Disguise
Barry White ; Can't Get Enough Of Your Love, Babe
High N Wild ; This Time
OMI,Felix Jaehn ; Cheerleader (Felix Jaehn Remix) - Radio Edit
Kelly Clarkson ; Didn't I
Years & Years ; If You're Over Me
Cheat Codes,Fetty Wap,CVBZ ; Feels Great (feat. Fetty Wap & CVBZ)
Cimorelli ; Nice for What / Friends / No Scrubs
The 1975 ; Give Yourself A Try
Beyoncé ; Work It Out
Starley,Ryan Riback ; Call on Me - Ryan Riback Remix
Don McLean ; American Pie
OBB ; Is This A Thing
George Ezra ; Budapest
Matoma ; Wonderful Life (Mi Oh My) - from The Angry Birds Movie (Original Motion Picture Soundtrack)
Raspberries ; Go All The Way
Spoon ; The Way We Get By
Jack Johnson ; Sitting, Waiting, Wishing
MIKA ; Grace Kelly
Rihanna ; Where Have You Been
Spice Girls ; Stop
Wings ; Silly Love Songs - 1993 Digital Remaster
Andy Grammer ; Fine By Me
Jordie Ireland,Ava Hayz ; One In A Million
Shawn Mendes ; Nervous
William Barry ; Into You
Natalie Imbruglia ; Torn
Jason Derulo ; Trumpets
The Chainsmokers,ROZES ; Roses
One Bit,Louisa ; Between You and Me
Cher ; Gimme! Gimme! Gimme! (A Man After Midnight)
Roman GianArthur,Janelle Monáe ; No Surprises (feat. Janelle Monáe)
Betty Who ; Taste
Queen ; I Want To Break Free - Remastered 2011
David Bowie ; Modern Love - 1999 Remastered Version
Macy Gray ; Beauty in the World
Erasure ; A Little Respect
Nicki Minaj ; Starships
Kat Cunning,Kelso ; Stay on the Line - Kelso Remix
Gorgon City,Kamille,Ghosted ; Go Deep
The Chordettes ; Mr Sandman
P!nk ; Raise Your Glass
Whitney Houston ; I Wanna Dance with Somebody (Who Loves Me)
Ryangel,Shana Pearson ; Say It (feat. Shana Pearson)
Avicii ; Can't Catch Me
Riton,Kah-Lo ; Ginger
Matoma,Popcaan,Wale ; Feeling Right (Everything Is Nice) [feat. Popcaan & Wale]
The Knocks,Foster The People,Vicetone ; Ride Or Die (feat. Foster The People) - Vicetone Remix
Vanessa Carlton ; A Thousand Miles
Common Kings ; 24/7
Avicii ; Broken Arrows
Major Lazer,Justin Bieber,MØ ; Cold Water
Marshmello,Juicy J,James Arthur ; You Can Cry
MC Hammer ; U Can't Touch This
RL Grime,Daya ; I Wanna Know
The Jackson 5 ; I Want You Back
Louie Vega,Anane,Tony Touch ; Last Night A DJ Saved My Life (feat. Anané & Tony Touch)
Kylie Minogue ; Golden
Daddy Yankee ; Gasolina
for KING & COUNTRY ; Fix My Eyes - Radio Version
Harry Belafonte ; Jump in the Line
Lucas & Steve ; Anywhere
Louis The Child,Wafia ; Better Not (feat. Wafia)
Lynyrd Skynyrd ; Sweet Home Alabama
Why Don't We ; Hooked
Cage The Elephant ; Come a Little Closer
Bebe Rexha ; Self Control
Sean Paul ; Temperature
B.o.B,Rivers Cuomo ; Magic (feat. Rivers Cuomo)
Simon & Garfunkel ; Cecilia
Red Hot Chili Peppers ; Dani California
Don Diablo,James Newman ; Head Up
Uncle Kracker ; Smile
The Script ; Superheroes
Gabbie Hanna ; Honestly
Chuck Berry ; Johnny B. Goode - Single Version
Odette ; Take It To The Heart
Stealers Wheel ; Stuck In The Middle With You
MAGIC! ; Rude
Avicii ; Liar Liar
Sara Bareilles ; Love Song
HRVY ; Personal
The Champs ; Tequila
Happy Songs ; You've Got A Friend In Me (From Toy Story)
OMC ; How Bizarre
Fifth Harmony,Kid Ink ; Worth It
Caroline Romano ; Ready
The Kooks ; Junk Of The Heart (Happy)
Michael Bublé ; It's A Beautiful Day
Mungo Jerry ; In the Summertime (Re-Recorded)
Cheryl Lynn ; Got to Be Real
Stevie Wonder ; Superstition - Single Version
The Chiffons ; He's So Fine - Remastered 2000
The Foundations ; Build Me up Buttercup (Re-Recorded)
Oasis ; Don't Look Back In Anger
Sia ; Cheap Thrills
Joe Dassin ; Les Champs-Elysées
Martin Garrix,Dua Lipa ; Scared to Be Lonely
Prince ; Let's Go Crazy
Crystal Fighters ; Another Level
NOTD,Bea Miller ; I Wanna Know (feat. Bea Miller)
Logic,Ryan Tedder ; One Day (feat. Ryan Tedder)
Sublime ; Santeria
Daya ; Sit Still, Look Pretty
Lika Morgan ; Go with the Flow
One Direction ; Drag Me Down
MØ ; Final Song
Bill Withers ; Lovely Day
Diddy - Dirty Money,Skylar Grey ; Coming Home
Van Morrison ; Brown Eyed Girl
Adam Jensen ; Drugs
Fall Out Boy ; Centuries
Hailee Steinfeld ; Love Myself
Harry Belafonte ; Banana Boat (Day-O)
Bruno Mars ; Locked Out Of Heaven
Julia Michaels ; Pink
The Potbelleez ; Go for Gold
Banx & Ranx,Ella Eyre,Yxng Bane ; Answerphone (feat. Yxng Bane)
Glen Campbell ; Southern Nights
Frankie Valli & The Four Seasons ; December, 1963 (Oh What A Night!)
Ray Charles ; I've Got A Woman
Jon Reynolds & The Aches ; Undertow
Dirty Heads ; Stand Tall
Katy Perry,Skip Marley ; Chained To The Rhythm
Dion & The Belmonts ; A Teenager In Love
Mike Shinoda,grandson ; Running From My Shadow (feat. grandson)
John Newman ; Love Me Again
Ilse DeLange ; Heartbeat
Blue Swede,Björn Skifs ; Hooked on a Feeling
The Tokens ; The Lion Sleeps Tonight (Wimoweh)
Elizabeth Banks,Cecily Strong,Phoebe Robinson,Laura Bell Bundy,Chrissie Fit ; Crushin' it
Taylor Swift ; ...Ready For It?
Paul Simon ; Me and Julio Down by the Schoolyard
Fifth Harmony,Ty Dolla $ign ; Work from Home
Gabriela Geneva ; You Were Right
Aly Youranday ; On My Own
Facing West ; Supernova
David Fanning ; Lovers (Remix)
Liam Payne,J Balvin ; Familiar
Village People ; Go West - Original Version 1979
Major Lazer,PARTYNEXTDOOR,Nicki Minaj ; Run Up
The 1975 ; TOOTIMETOOTIMETOOTIME
Sofia Reyes,Jason Derulo,De La Ghetto ; 1, 2, 3 (feat. Jason Derulo & De La Ghetto)
NF ; Let You Down
Kelly Clarkson ; Heat
Taylor Swift ; Delicate
Zedd,Liam Payne ; Get Low (with Liam Payne)
Luis Fonsi,Stefflon Don ; Calypso
The Bangles ; Walk Like an Egyptian
Pretenders ; Don't Get Me Wrong - 2007 Remastered Version
David Guetta,Sia ; Titanium (feat. Sia)
DJ Snake,Selena Gomez,Ozuna,Cardi B ; Taki Taki (with Selena Gomez, Ozuna & Cardi B)
Pharrell Williams ; Freedom
Avicii ; Pure Grinding
Quinn XCII ; Another Day in Paradise
A Great Big World ; Rockstar
Shawn Mendes,Khalid ; Youth (feat. Khalid)
Kesha ; Die Young
Alesso ; REMEDY
Gryffin,Elley Duhé ; Tie Me Down (with Elley Duhé)
Marina and the Diamonds ; Happy
Baha Men ; Bumpa
K'NAAN ; Wavin' Flag
Modest Mouse ; Float On
M-22 ; How Does It Feel
Olivia Holt ; Generous
Miley Cyrus ; Party In The U.S.A.
Tune-Yards ; Powa
SZA ; Garden (Say It Like Dat)
Post Malone ; Go Flex
Jake Owen ; Real Life
Keane ; Somewhere Only We Know
Jason Derulo ; Want to Want Me
Ariana Grande ; breathin
Violent Femmes ; Blister In The Sun
The Beatles ; Twist And Shout - Live / Remastered
Jack Johnson ; Banana Pancakes
Rudimental,Major Lazer,Anne-Marie,Mr Eazi ; Let Me Live (feat. Anne-Marie & Mr Eazi)
Merk & Kremont,DNCE ; Hands Up (feat. DNCE)
WALK THE MOON ; Anna Sun
Meghan Trainor ; LET YOU BE RIGHT
Iration ; Falling
The Killers ; Mr. Brightside
Flo Rida,Sage The Gemini,Lookas ; GDFR (feat. Sage The Gemini & Lookas)
Keith Urban,Julia Michaels ; Coming Home
Hippo Campus ; Way It Goes
Matt Peach ; Girl On Girl
The Struts ; Kiss This
Neil Sedaka ; Calendar Girl
Jack Johnson ; Seasick Dream
Bowling For Soup ; 1985
Jay Hardway ; Golden Pineapple
Carmen Justice ; Cloud 9
Demi Lovato ; Hitchhiker
Jess Kent ; Girl
Alex Adair,Delayers,Samantha Harvey ; Dominos
Rachel Platten ; Stand By You
Neil Diamond ; Sweet Caroline - Single Version
Florida Georgia Line ; Simple
Neon Trees ; Everybody Talks
Bastille ; Pompeii
Calvin Harris,Pharrell Williams,Katy Perry,Big Sean ; Feels
Bryan Adams ; Summer Of '69
GIVERS ; Love Is Like A Fire
The Verve ; Bitter Sweet Symphony
